,Nationality,Continent,Vehicle Name,Vehicle Type,Wheel drive type,Retail Price,Dealer Cost,Engine Size (l),Cyl,HP,City MPG,Hwy MPG,Weight,Wheel Base,Len,Width,Combined MPG
30,GER,Europe,BMW 325xi Sport,Wagon,AWD,32845,30110,2.5,6,184,19,19,3594,107,176,69,19.0
31,GER,Europe,BMW 330Ci 2dr,Sedan,RWD,36995,33890,3.0,6,225,20,20,3285,107,176,69,20.0
32,GER,Europe,BMW 330Ci convertible 2dr,Sedan,RWD,44295,40530,3.0,6,225,19,19,3616,107,177,69,19.0
33,GER,Europe,BMW 330i 4dr,Sedan,RWD,35495,32525,3.0,6,225,20,20,3285,107,176,69,20.0
34,GER,Europe,BMW 330xi 4dr,Sedan,AWD,37245,34115,3.0,6,225,20,20,3483,107,176,69,20.0
35,GER,Europe,BMW 525i 4dr,Sedan,RWD,39995,36620,2.5,6,184,19,19,3428,114,191,73,19.0
36,GER,Europe,BMW 530i 4dr,Sedan,RWD,44995,41170,3.0,6,225,20,20,3472,114,191,73,20.0
37,GER,Europe,BMW 545iA 4dr,Sedan,RWD,54995,50270,4.4,8,325,18,18,3814,114,191,73,18.0
38,GER,Europe,BMW 745i 4dr,Sedan,RWD,69195,63190,4.4,8,325,18,18,4376,118,198,75,18.0
39,GER,Europe,BMW 745Li 4dr,Sedan,RWD,73195,66830,4.4,8,325,18,18,4464,123,204,75,18.0
40,GER,Europe,BMW M3 convertible 2dr,Sports Car,RWD,56595,51815,3.2,6,333,16,16,3781,108,177,70,16.0
41,GER,Europe,BMW M3 coupe 2dr,Sports Car,RWD,48195,44170,3.2,6,333,16,16,3415,108,177,70,16.0
42,GER,Europe,BMW X3 3.0i,SUV,AWD,37000,33873,3.0,6,225,16,16,4023,110,180,73,16.0
43,GER,Europe,BMW X5 4.4i,SUV,AWD,52195,47720,4.4,8,325,16,16,4824,111,184,74,16.0
44,GER,Europe,BMW Z4 convertible 2.5i 2dr,Sports Car,RWD,33895,31065,2.5,6,184,20,20,2932,98,161,70,20.0
45,GER,Europe,BMW Z4 convertible 3.0i 2dr,Sports Car,RWD,41045,37575,3.0,6,225,21,21,2998,98,161,70,21.0
46,USA,North America,Buick Century Custom 4dr,Sedan,NA,22180,20351,3.1,6,175,20,20,3353,109,195,73,20.0
47,USA,North America,Buick LeSabre Custom 4dr,Sedan,NA,26470,24282,3.8,6,205,20,20,3567,112,200,74,20.0
48,USA,North America,Buick LeSabre Limited 4dr,Sedan,NA,32245,29566,3.8,6,205,20,20,3591,112,200,74,20.0
49,USA,North America,Buick Park Avenue 4dr,Sedan,NA,35545,32244,3.8,6,205,20,20,3778,114,207,75,20.0
50,USA,North America,Buick Park Avenue Ultra 4dr,Sedan,NA,40720,36927,3.8,6,240,18,18,3909,114,207,75,18.0
51,USA,North America,Buick Rainier,SUV,AWD,37895,34357,4.2,6,275,15,15,4600,113,193,75,15.0
52,USA,North America,Buick Regal GS 4dr,Sedan,NA,28345,26047,3.8,6,240,18,18,3536,109,196,73,18.0
53,USA,North America,Buick Regal LS 4dr,Sedan,NA,24895,22835,3.8,6,200,20,20,3461,109,196,73,20.0
54,USA,North America,Buick Rendezvous CX,SUV,NA,26545,24085,3.4,6,185,19,19,4024,112,187,74,19.0
55,USA,North America,Cadillac CTS VVT 4dr,Sedan,RWD,30835,28575,3.6,6,255,18,18,3694,113,190,71,18.0
56,USA,North America,Cadillac Deville 4dr,Sedan,NA,45445,41650,4.6,8,275,18,18,3984,115,207,74,18.0
57,USA,North America,Cadillac Deville DTS 4dr,Sedan,NA,50595,46362,4.6,8,300,18,18,4044,115,207,74,18.0
59,USA,North America,Cadillac Escaladet,SUV,NA,52795,48377,5.3,8,295,14,14,5367,116,199,79,14.0
60,USA,North America,Cadillac Seville SLS 4dr,Sedan,NA,47955,43841,4.6,8,275,18,18,3992,112,201,75,18.0
61,USA,North America,Cadillac SRX V8,SUV,NA,46995,43523,4.6,8,320,16,16,4302,116,195,73,16.0
62,USA,North America,Cadillac XLR convertible 2dr,Sports Car,RWD,76200,70546,4.6,8,320,17,17,3647,106,178,72,17.0
63,USA,North America,Chevrolet Astro,Minivan,AWD,26395,23954,4.3,6,190,14,14,4605,111,190,78,14.0
65,USA,North America,Chevrolet Aveo 4dr,Sedan,NA,11690,10965,1.6,4,103,28,28,2370,98,167,66,28.0
66,USA,North America,Chevrolet Aveo LS 4dr hatch,Sedan,NA,12585,11802,1.6,4,103,28,28,2348,98,153,66,28.0
67,USA,North America,Chevrolet Cavalier 2dr,Sedan,NA,14610,13697,2.2,4,140,26,26,2617,104,183,69,26.0
68,USA,North America,Chevrolet Cavalier 4dr,Sedan,NA,14810,13884,2.2,4,140,26,26,2676,104,183,68,26.0
69,USA,North America,Chevrolet Cavalier LS 2dr,Sedan,NA,16385,15357,2.2,4,140,26,26,2617,104,183,69,26.0
71,USA,North America,Chevrolet Corvette 2dr,Sports Car,RWD,44535,39068,5.7,8,350,18,18,3246,105,180,74,18.0
72,USA,North America,Chevrolet Corvette convertible 2dr,Sports Car,RWD,51535,45193,5.7,8,350,18,18,3248,105,180,74,18.0
73,USA,North America,Chevrolet Impala 4dr,Sedan,NA,21900,20095,3.4,6,180,21,21,3465,111,200,73,21.0
74,USA,North America,Chevrolet Impala LS 4dr,Sedan,NA,25000,22931,3.8,6,200,20,20,3476,111,200,73,20.0
75,USA,North America,Chevrolet Impala SS 4dr,Sedan,NA,27995,25672,3.8,6,240,18,18,3606,111,200,73,18.0
76,USA,North America,Chevrolet Malibu 4dr,Sedan,NA,18995,17434,2.2,4,145,24,24,3174,106,188,70,24.0
77,USA,North America,Chevrolet Malibu LS 4dr,Sedan,NA,20370,18639,3.5,6,200,22,22,3297,106,188,70,22.0
78,USA,North America,Chevrolet Malibu LT 4dr,Sedan,NA,23495,21551,3.5,6,200,23,23,3315,106,188,70,23.0
79,USA,North America,Chevrolet Malibu Maxx LS,Wagon,NA,22225,20394,3.5,6,200,22,22,3458,112,188,70,22.0
80,USA,North America,Chevrolet Monte Carlo LS 2dr,Sedan,NA,21825,20026,3.4,6,180,21,21,3340,111,198,73,21.0
81,USA,North America,Chevrolet Monte Carlo SS 2dr,Sedan,NA,24225,22222,3.8,6,200,18,18,3434,111,198,73,18.0
85,USA,North America,Chevrolet Suburban 1500 LT,SUV,NA,42735,37422,5.3,8,295,14,14,4947,130,219,79,14.0
86,USA,North America,Chevrolet Tahoe LT,SUV,AWD,41465,36287,5.3,8,295,14,14,5050,116,197,79,14.0
87,USA,North America,Chevrolet Tracker,SUV,NA,20255,19108,2.5,6,165,19,19,2866,98,163,67,19.0
88,USA,North America,Chevrolet TrailBlazer LT,SUV,NA,30295,27479,4.2,6,275,16,16,4425,113,192,75,16.0
89,USA,North America,Chevrolet Venture LS,Minivan,NA,27020,24518,3.4,6,185,19,19,3699,112,187,72,19.0
90,USA,North America,Chrysler PT Cruiser GT 4dr,Sedan,NA,25955,24172,2.4,4,220,21,21,3217,103,169,67,21.0
91,USA,North America,Chrysler 300M 4dr,Sedan,NA,29865,27797,3.5,6,250,18,18,3581,113,198,74,18.0
92,USA,North America,Chrysler 300M Special Edition 4dr,Sedan,NA,33295,30884,3.5,6,255,18,18,3650,113,198,74,18.0
93,USA,North America,Chrysler Concorde LX 4dr,Sedan,NA,24130,22452,2.7,6,200,21,21,3479,113,208,74,21.0
94,USA,North America,Chrysler Concorde LXi 4dr,Sedan,NA,26860,24909,3.5,6,232,19,19,3548,113,208,74,19.0
95,USA,North America,Chrysler Crossfire 2dr,Sports Car,RWD,34495,32033,3.2,6,215,17,17,3060,95,160,70,17.0
96,USA,North America,Chrysler Pacifica,Wagon,RWD,31230,28725,3.5,6,250,17,17,4675,116,199,79,17.0
97,USA,North America,Chrysler PT Cruiser 4dr,Sedan,NA,17985,16919,2.4,4,150,22,22,3101,103,169,67,22.0
98,USA,North America,Chrysler PT Cruiser Limited 4dr,Sedan,NA,22000,20573,2.4,4,150,22,22,3105,103,169,67,22.0
99,USA,North America,Chrysler Sebring 4dr,Sedan,NA,19090,17805,2.4,4,150,22,22,3173,108,191,71,22.0
100,USA,North America,Chrysler Sebring convertible 2dr,Sedan,NA,25215,23451,2.4,4,150,22,22,3357,106,194,64,22.0
101,USA,North America,Chrysler Sebring Limited convertible 2dr,Sedan,NA,30950,28613,2.7,6,200,21,21,3448,106,194,69,21.0
102,USA,North America,Chrysler Sebring Touring 4dr,Sedan,NA,21840,20284,2.7,6,200,21,21,3222,108,191,71,21.0
103,USA,North America,Chrysler Town and Country Limited,Minivan,NA,38380,35063,3.8,6,215,18,18,4331,119,201,79,18.0
104,USA,North America,Chrysler Town and Country LX,Minivan,NA,27490,25371,3.3,6,180,19,19,4068,119,201,79,19.0
105,USA,North America,GMC Yukon 1500 SLE,SUV,NA,35725,31361,4.8,8,285,16,16,5042,116,199,79,16.0
106,USA,North America,Dodge Caravan SE,Minivan,NA,21795,20508,2.4,4,150,20,20,3862,113,189,79,20.0
109,USA,North America,Dodge Durango SLT,SUV,AWD,32235,29472,4.7,8,230,15,15,4987,119,201,76,15.0
110,USA,North America,Dodge Grand Caravan SXT,Minivan,AWD,32660,29812,3.8,6,215,18,18,4440,119,201,79,18.0
111,USA,North America,Dodge Intrepid ES 4dr,Sedan,NA,24885,23058,3.5,6,232,18,18,3487,113,204,75,18.0
112,USA,North America,Dodge Intrepid SE 4dr,Sedan,NA,22035,20502,2.7,6,200,21,21,3469,113,204,75,21.0
113,USA,North America,Dodge Neon SE 4dr,Sedan,NA,13670,12849,2.0,4,132,29,29,2581,105,174,67,29.0
114,USA,North America,Dodge Neon SXT 4dr,Sedan,NA,15040,14086,2.0,4,132,29,29,2626,105,174,67,29.0
116,USA,North America,Dodge Stratus SE 4dr,Sedan,NA,20220,18821,2.4,4,150,21,21,3175,108,191,71,21.0
117,USA,North America,Dodge Stratus SXT 4dr,Sedan,NA,18820,17512,2.4,4,150,21,21,3182,108,191,71,21.0
119,USA,North America,Ford Crown Victoria 4dr,Sedan,RWD,24345,22856,4.6,8,224,17,17,4057,115,212,78,17.0
120,USA,North America,Ford Crown Victoria LX 4dr,Sedan,RWD,27370,25105,4.6,8,224,17,17,4057,115,212,78,17.0
121,USA,North America,Ford Crown Victoria LX Sport 4dr,Sedan,RWD,30315,27756,4.6,8,239,17,17,4057,115,212,78,17.0
122,USA,North America,Ford Escape XLS,SUV,AWD,22515,20907,3.0,6,201,18,18,3346,103,173,70,18.0
124,USA,North America,Ford Expedition 4.6 XLT,SUV,NA,34560,30468,4.6,8,232,15,15,5000,119,206,79,15.0
125,USA,North America,Ford Explorer XLT V6,SUV,AWD,29670,26983,4.0,6,210,15,15,4463,114,190,72,15.0
128,USA,North America,Ford Focus LX 4dr,Sedan,NA,13730,12906,2.0,4,110,27,27,2606,103,168,67,27.0
129,USA,North America,Ford Focus SE 4dr,Sedan,NA,15460,14496,2.0,4,130,26,26,2606,103,168,67,26.0
130,USA,North America,Ford Focus SVT 2dr,Sedan,NA,19135,17878,2.0,4,170,21,21,2750,103,168,67,21.0
131,USA,North America,Ford Focus ZTW,Wagon,NA,17475,16375,2.0,4,130,26,26,2702,103,178,67,26.0
132,USA,North America,Ford Focus ZX3 2dr hatch,Sedan,NA,13270,12482,2.0,4,130,26,26,2612,103,168,67,26.0
133,USA,North America,Ford Focus ZX5 5dr,Sedan,NA,15580,14607,2.0,4,130,26,26,2691,103,168,67,26.0
134,USA,North America,Ford Freestar SE,Minivan,NA,26930,24498,3.9,6,193,17,17,4275,121,201,77,17.0
135,USA,North America,Ford Mustang 2dr (convertible),Sports Car,RWD,18345,16943,3.8,6,193,20,20,3290,101,183,73,20.0
136,USA,North America,Ford Mustang GT Premium convertible 2dr,Sports Car,RWD,29380,26875,4.6,8,260,17,17,3347,101,183,73,17.0
138,USA,North America,Ford Taurus LX 4dr,Sedan,NA,20320,18881,3.0,6,155,20,20,3306,109,198,73,20.0
139,USA,North America,Ford Taurus SE,Wagon,NA,22290,20457,3.0,6,155,19,19,3497,109,198,73,19.0
140,USA,North America,Ford Taurus SES Duratec 4dr,Sedan,NA,22735,20857,3.0,6,201,19,19,3313,109,198,73,19.0
141,USA,North America,Ford Thunderbird Deluxe convert w/hardtop 2dr,Sports Car,NA,37530,34483,3.9,8,280,17,17,3780,107,186,72,17.0
143,USA,North America,GMC Envoy XUV SLE,SUV,NA,31890,28922,4.2,6,275,15,15,4945,129,208,75,15.0
144,USA,North America,GMC Safari SLE,Minivan,RWD,25640,23215,4.3,6,190,16,16,4309,111,190,78,16.0
148,USA,North America,GMC Yukon XL 2500 SLT,SUV,AWD,46265,40534,6.0,8,325,13,13,6133,130,219,79,13.0
149,JPN,Asia,Honda Accord EX 2dr,Sedan,NA,22260,20080,2.4,4,160,26,26,3047,105,188,71,26.0
150,JPN,Asia,Honda Accord EX V6 2dr,Sedan,NA,26960,24304,3.0,6,240,21,21,3294,105,188,71,21.0
151,JPN,Asia,Honda Accord LX 2dr,Sedan,NA,19860,17924,2.4,4,160,26,26,2994,105,188,71,26.0
152,JPN,Asia,Honda Accord LX V6 4dr,Sedan,NA,23760,21428,3.0,6,240,21,21,3349,108,190,72,21.0
153,JPN,Asia,Honda Civic DX 2dr,Sedan,NA,13270,12175,1.7,4,115,32,32,2432,103,175,67,32.0
154,JPN,Asia,Honda Civic EX 4dr,Sedan,NA,17750,16265,1.7,4,127,32,32,2601,103,175,68,32.0
155,JPN,Asia,Honda Civic HX 2dr,Sedan,NA,14170,12996,1.7,4,117,36,36,2500,103,175,67,36.0
156,JPN,Asia,Honda Civic Hybrid 4dr manual (gas/electric),Sedan,NA,20140,18451,1.4,4,93,46,46,2732,103,175,68,46.0
157,JPN,Asia,Honda Civic LX 4dr,Sedan,NA,15850,14531,1.7,4,115,32,32,2513,103,175,68,32.0
158,JPN,Asia,Honda Civic Si 2dr hatch,Sedan,NA,19490,17849,2.0,4,160,26,26,2782,101,166,67,26.0
159,JPN,Asia,Honda CR-V LX,SUV,AWD,19860,18419,2.4,4,160,21,21,3258,103,179,70,21.0
160,JPN,Asia,Honda Element LX,SUV,AWD,18690,17334,2.4,4,160,21,21,3468,101,167,72,21.0
161,JPN,Asia,Honda Insight 2dr (gas/electric),Sedan,NA,19110,17911,2.0,3,73,60,60,1850,95,155,67,60.0
162,JPN,Asia,Honda Odyssey EX,Minivan,NA,27450,24744,3.5,6,240,18,18,4365,118,201,76,18.0
163,JPN,Asia,Honda Odyssey LX,Minivan,NA,24950,22498,3.5,6,240,18,18,4310,118,201,76,18.0
164,JPN,Asia,Honda Pilot LX,SUV,AWD,27560,24843,3.5,6,240,17,17,4387,106,188,77,17.0
165,JPN,Asia,Honda S2000 convertible 2dr,Sports Car,RWD,33260,29965,2.2,4,240,20,20,2835,95,162,69,20.0
166,USA,North America,Hummer H2,SUV,AWD,49995,45815,6.0,8,316,10,10,6400,123,190,81,10.0
167,KOR,Asia,Hyundai Accent 2dr hatch,Sedan,NA,10539,10107,1.6,4,103,29,29,2255,96,167,66,29.0
168,KOR,Asia,Hyundai Accent GL 4dr,Sedan,NA,11839,11116,1.6,4,103,29,29,2290,96,167,66,29.0
169,KOR,Asia,Hyundai Accent GT 2dr hatch,Sedan,NA,11939,11209,1.6,4,103,29,29,2339,96,167,66,29.0
170,KOR,Asia,Hyundai Elantra GLS 4dr,Sedan,NA,13839,12781,2.0,4,138,26,26,2635,103,178,68,26.0
171,KOR,Asia,Hyundai Elantra GT 4dr,Sedan,NA,15389,14207,2.0,4,138,26,26,2635,103,178,68,26.0
172,KOR,Asia,Hyundai Elantra GT 4dr hatch,Sedan,NA,15389,14207,2.0,4,138,26,26,2698,103,178,68,26.0
173,KOR,Asia,Hyundai Santa Fe GLS,SUV,NA,21589,20201,2.7,6,173,20,20,3549,103,177,73,20.0
174,KOR,Asia,Hyundai Sonata GLS 4dr,Sedan,NA,19339,17574,2.7,6,170,19,19,3217,106,187,72,19.0
175,KOR,Asia,Hyundai Sonata LX 4dr,Sedan,NA,20339,18380,2.7,6,170,19,19,3217,106,187,72,19.0
176,KOR,Asia,Hyundai Tiburon GT V6 2dr,Sports Car,NA,18739,17101,2.7,6,172,19,19,3023,100,173,69,19.0
177,KOR,Asia,Hyundai XG350 4dr,Sedan,NA,24589,22055,3.5,6,194,17,17,3651,108,192,72,17.0
178,KOR,Asia,Hyundai XG350 L 4dr,Sedan,NA,26189,23486,3.5,6,194,17,17,3651,108,192,72,17.0
179,JPN,Asia,Infiniti FX35,Wagon,RWD,34895,31756,3.5,6,280,16,16,4056,112,189,76,16.0
180,JPN,Asia,Infiniti FX45,Wagon,AWD,36395,33121,4.5,8,315,15,15,4309,112,189,76,15.0
181,JPN,Asia,Infiniti G35 4dr,Sedan,RWD,28495,26157,3.5,6,260,18,18,3336,112,187,69,18.0
182,JPN,Asia,Infiniti G35 4dr,Sedan,AWD,32445,29783,3.5,6,260,18,18,3677,112,187,69,18.0
183,JPN,Asia,Infiniti G35 Sport Coupe 2dr,Sedan,RWD,29795,27536,3.5,6,280,18,18,3416,112,182,72,18.0
184,JPN,Asia,Infiniti I35 4dr,Sedan,NA,31145,28320,3.5,6,255,19,19,3306,108,194,70,19.0
185,JPN,Asia,Infiniti M45 4dr,Sedan,RWD,42845,38792,4.5,8,340,17,17,3851,110,197,70,17.0
186,JPN,Asia,Infiniti Q45 Luxury 4dr,Sedan,RWD,52545,47575,4.5,8,340,17,17,3977,113,200,73,17.0
187,JPN,Asia,Isuzu Ascender S,SUV,AWD,31849,29977,4.2,6,275,15,15,4967,129,208,76,15.0
188,JPN,Asia,Isuzu Rodeo S,SUV,NA,20449,19261,3.2,6,193,17,17,3836,106,178,70,17.0
189,UK,Europe,Jaguar S-Type 3.0 4dr,Sedan,RWD,43895,40004,3.0,6,235,18,18,3777,115,192,72,18.0
190,UK,Europe,Jaguar S-Type 4.2 4dr,Sedan,RWD,49995,45556,4.2,8,294,18,18,3874,115,192,72,18.0
191,UK,Europe,Jaguar S-Type R 4dr,Sedan,RWD,63120,57499,4.2,8,390,17,17,4046,115,192,72,17.0
192,UK,Europe,Jaguar Vanden Plas 4dr,Sedan,RWD,68995,62846,4.2,8,294,18,18,3803,119,200,73,18.0
193,UK,Europe,Jaguar XJ8 4dr,Sedan,RWD,59995,54656,4.2,8,294,18,18,3803,119,200,73,18.0
194,UK,Europe,Jaguar XJR 4dr,Sedan,RWD,74995,68306,4.2,8,390,17,17,3948,119,200,73,17.0
195,UK,Europe,Jaguar XK8 convertible 2dr,Sports Car,RWD,74995,68306,4.2,8,294,18,18,3980,102,187,71,18.0
196,UK,Europe,Jaguar XK8 coupe 2dr,Sports Car,RWD,69995,63756,4.2,8,294,18,18,3779,102,187,71,18.0
197,UK,Europe,Jaguar XKR convertible 2dr,Sports Car,RWD,86995,79226,4.2,8,390,16,16,4042,102,187,71,16.0
198,UK,Europe,Jaguar XKR coupe 2dr,Sports Car,RWD,81995,74676,4.2,8,390,16,16,3865,102,187,71,16.0
199,UK,Europe,Jaguar X-Type 2.5 4dr,Sedan,AWD,29995,27355,2.5,6,192,18,18,3428,107,184,70,18.0
200,UK,Europe,Jaguar X-Type 3.0 4dr,Sedan,AWD,33995,30995,3.0,6,227,18,18,3516,107,184,70,18.0
201,USA,North America,Jeep Grand Cherokee Laredo,SUV,NA,27905,25686,4.0,6,195,16,16,3790,106,181,72,16.0
202,USA,North America,Jeep Liberty Sport,SUV,AWD,20130,18973,2.4,4,150,20,20,3826,104,174,72,20.0
203,USA,North America,Jeep Wrangler Sahara convertible 2dr,SUV,AWD,25520,23275,4.0,6,190,16,16,3575,93,150,67,16.0
205,KOR,Asia,Kia Optima LX 4dr,Sedan,NA,16040,14910,2.4,4,138,23,23,3281,106,186,72,23.0
206,KOR,Asia,Kia Optima LX V6 4dr,Sedan,NA,18435,16850,2.7,6,170,20,20,3279,106,186,72,20.0
207,KOR,Asia,Kia Rio 4dr auto,Sedan,NA,11155,10705,1.6,4,104,25,25,2458,95,167,66,25.0
208,KOR,Asia,Kia Rio 4dr manual,Sedan,NA,10280,9875,1.6,4,104,26,26,2403,95,167,66,26.0
209,KOR,Asia,Kia Rio Cinco,Wagon,NA,11905,11410,1.6,4,104,26,26,2447,95,167,66,26.0
210,KOR,Asia,Kia Sedona LX,Minivan,NA,20615,19400,3.5,6,195,16,16,4802,115,194,75,16.0
211,KOR,Asia,Kia Sorento LX,SUV,NA,19635,18630,3.5,6,192,16,16,4112,107,180,73,16.0
212,KOR,Asia,Kia Spectra 4dr,Sedan,NA,12360,11630,1.8,4,124,24,24,2661,101,178,68,24.0
213,KOR,Asia,Kia Spectra GS 4dr hatch,Sedan,NA,13580,12830,1.8,4,124,24,24,2686,101,178,68,24.0
214,KOR,Asia,Kia Spectra GSX 4dr hatch,Sedan,NA,14630,13790,1.8,4,124,24,24,2697,101,178,68,24.0
215,UK,Europe,Land Rover Discovery SE,SUV,AWD,39250,35777,4.6,8,217,12,12,4576,100,185,74,12.0
216,UK,Europe,Land Rover Freelander SE,SUV,AWD,25995,23969,2.5,6,174,18,18,3577,101,175,71,18.0
217,UK,Europe,Land Rover Range Rover HSE,SUV,AWD,72250,65807,4.4,8,282,12,12,5379,113,195,76,12.0
218,JPN,Asia,Lexus ES 330 4dr,Sedan,NA,32350,28755,3.3,6,225,20,20,3460,107,191,71,20.0
219,JPN,Asia,Lexus GS 300 4dr,Sedan,RWD,41010,36196,3.0,6,220,18,18,3649,110,189,71,18.0
220,JPN,Asia,Lexus GS 430 4dr,Sedan,RWD,48450,42232,4.3,8,300,18,18,3715,110,189,71,18.0
221,JPN,Asia,Lexus GX 470,SUV,AWD,45700,39838,4.7,8,235,15,15,4740,110,188,74,15.0
222,JPN,Asia,Lexus IS 300 4dr auto,Sedan,RWD,32415,28611,3.0,6,215,18,18,3285,105,177,68,18.0
223,JPN,Asia,Lexus IS 300 4dr manual,Sedan,RWD,31045,27404,3.0,6,215,18,18,3255,105,177,68,18.0
224,JPN,Asia,Lexus IS 300 SportCross,Wagon,RWD,32455,28647,3.0,6,215,18,18,3410,105,177,68,18.0
225,JPN,Asia,Lexus LS 430 4dr,Sedan,RWD,55750,48583,4.3,8,290,18,18,3990,115,197,72,18.0
226,JPN,Asia,Lexus LX 470,SUV,AWD,64800,56455,4.7,8,235,13,13,5590,112,193,76,13.0
227,JPN,Asia,Lexus RX 330,SUV,AWD,39195,34576,3.3,6,230,18,18,4065,107,186,73,18.0
228,JPN,Asia,Lexus SC 430 convertible 2dr,Sports Car,RWD,63200,55063,4.3,8,300,18,18,3840,103,178,72,18.0
229,USA,North America,Lincoln Aviator Ultimate,SUV,NA,42915,39443,4.6,8,302,13,13,4834,114,193,76,13.0
230,USA,North America,Lincoln LS V6 Luxury 4dr,Sedan,RWD,32495,29969,3.0,6,232,20,20,3681,115,194,73,20.0
231,USA,North America,Lincoln LS V6 Premium 4dr,Sedan,RWD,36895,33929,3.0,6,232,20,20,3681,115,194,73,20.0
232,USA,North America,Lincoln LS V8 Sport 4dr,Sedan,RWD,40095,36809,3.9,8,280,17,17,3768,115,194,73,17.0
233,USA,North America,Lincoln LS V8 Ultimate 4dr,Sedan,RWD,43495,39869,3.9,8,280,17,17,3768,115,194,73,17.0
234,USA,North America,Lincoln Navigator Luxury,SUV,AWD,52775,46360,5.4,8,300,13,13,5969,119,206,80,13.0
235,USA,North America,Lincoln Town Car Signature 4dr,Sedan,RWD,41815,38418,4.6,8,239,17,17,4369,118,215,78,17.0
236,USA,North America,Lincoln Town Car Ultimate 4dr,Sedan,RWD,44925,41217,4.6,8,239,17,17,4369,118,215,78,17.0
